log_id,report_id,maintenance_date,duration_hours,technician
M7000,R3051,2024-03-30,5.0,Nguyen Van A
M7001,R3004,2024-01-25,,Pham Van D
M7002,R3107,2024-01-21,4.25,Nguyen Van A
M7003,R3011,2024-01-10,4.25,Nguyen Van A
M7004,R3056,,1.5,Le Thi B
M7005,R3057,,,Le Thi B
M7006,R3008,,,Le Thi B
M7007,R3052,2024-04-28,1.5,Le Thi B
M7008,R3115,,2.0,Le Thi B
M7009,R3115,2024-02-05,5.0,Le Thi B
M7010,R3021,,4.25,Nguyen Van A
M7011,R3095,,1.5,Nguyen Van A
M7012,R3087,,4.25,Nguyen Van A
M7013,R3094,,4.25,Pham Van D
M7014,R3088,2024-05-10,2.0,Le Thi B
M7015,R3012,,1.5,Tran   Van C
M7016,R3116,,,Nguyen Van A
M7017,R3030,2024-01-10,5.0,Nguyen Van A
M7018,R3002,2024-01-17,,Nguyen Van A
M7019,R3079,,,Pham Van D
M7020,R3034,2024-05-08,4.25,Nguyen Van A
M7021,R3053,2024-02-20,1.5,Le Thi B
M7022,R3064,2024-03-28,2.0,Nguyen Van A
M7023,R3077,,4.25,Nguyen Van A
M7024,R3040,2024-04-28,4.25,Le Thi B
M7025,R3011,2024-03-20,2.0,Le Thi B
M7026,R3105,,,Le Thi B
M7027,R3064,2024-02-13,2.0,Tran   Van C
M7028,R3089,2024-05-27,,Le Thi B
M7029,R3097,2024-03-31,1.5,Le Thi B
M7030,R3041,,4.25,Tran   Van C
M7031,R3000,,2.0,Nguyen Van A
M7032,R3050,,,Tran   Van C
M7033,R3106,,,Pham Van D
M7034,R3023,2024-03-20,4.25,Le Thi B
M7035,R3090,2024-04-05,1.5,Tran   Van C
M7036,R3051,,,Pham Van D
M7037,R3080,,,Nguyen Van A
M7038,R3031,2024-05-09,,Le Thi B
M7039,R3015,,1.5,Tran   Van C
M7040,R3033,,1.5,Le Thi B
M7041,R3045,2024-01-01,1.5,Le Thi B
M7042,R3032,2024-04-18,2.0,Pham Van D
M7043,R3060,2024-01-30,4.25,Le Thi B
M7044,R3103,,,Pham Van D
M7045,R3045,2024-02-20,,Nguyen Van A
M7046,R3014,2024-01-08,4.25,Nguyen Van A
M7047,R3108,2024-05-09,4.25,Nguyen Van A
M7048,R3015,2024-04-01,5.0,Le Thi B
M7049,R3026,2024-04-21,,Nguyen Van A
M7050,R3075,,5.0,Le Thi B
M7051,R3103,2024-01-25,1.5,Nguyen Van A
M7052,R3032,2024-04-24,1.5,Nguyen Van A
M7053,R3039,2024-01-09,5.0,Nguyen Van A
M7054,R3069,,,Pham Van D
M7055,R3062,,1.5,Le Thi B
M7056,R3101,2024-01-13,,Nguyen Van A
M7057,R3001,2024-05-22,2.0,Nguyen Van A
M7058,R3113,2024-02-19,1.5,Tran   Van C
M7059,R3071,2024-05-27,,Tran   Van C
M7060,R3006,2024-02-24,2.0,Tran   Van C
M7061,R3008,2024-06-08,4.25,Le Thi B
M7062,R3042,2024-03-27,1.5,Le Thi B
M7063,R3116,2024-06-09,,Nguyen Van A
M7064,R3069,,5.0,Nguyen Van A
M7065,R3041,2024-05-08,2.0,Tran   Van C
M7066,R3096,,5.0,Tran   Van C
M7067,R3023,,1.5,Nguyen Van A
M7068,R3089,,1.5,Pham Van D
M7069,R3021,2024-02-16,,Le Thi B
M7070,R3092,,,Pham Van D
M7071,R3024,2024-06-09,4.25,Le Thi B
M7072,R3060,,4.25,Pham Van D
M7073,R3004,,5.0,Tran   Van C
M7074,R3020,2024-04-09,4.25,Tran   Van C
M7075,R3047,2024-05-13,,Tran   Van C
M7076,R3046,,4.25,Tran   Van C
M7077,R3082,,2.0,Nguyen Van A
M7078,R3044,,4.25,Le Thi B
M7079,R3084,2024-01-20,1.5,Tran   Van C
M7080,R3058,,2.0,Nguyen Van A
M7081,R3035,,4.25,Pham Van D
M7082,R3015,2024-05-25,,Le Thi B
M7083,R3100,,5.0,Pham Van D
M7084,R3117,2024-04-13,,Tran   Van C
M7085,R3014,,2.0,Pham Van D
M7086,R3111,2024-03-25,2.0,Pham Van D
M7087,R3065,,1.5,Tran   Van C
M7088,R3028,2024-01-21,2.0,Pham Van D
M7089,R3110,,,Nguyen Van A
M7090,R3024,,,Pham Van D
M7091,R3026,,4.25,Pham Van D
M7092,R3072,,,Le Thi B
M7093,R3052,,,Le Thi B
M7094,R3032,,,Nguyen Van A
M7095,R3100,,,Tran   Van C
M7096,R3027,2024-04-05,,Tran   Van C
M7097,R3054,2024-03-27,2.0,Pham Van D
M7098,R3007,2024-06-08,5.0,Pham Van D
M7099,R3105,,4.25,Le Thi B
